trialId,participantId,startIndex,endIndex,ID,angle,MDC,ME,MT,distance,error
0,7,3,1,5.653551467077039,0.7697626213427701,2,29.109403254679204,1270,521.0470228299937,false
1,7,2,8,5.452651372717555,-30.24309290955587,2,69.56171509055619,1314,927.1946936862829,true
2,7,8,15,6.201588094367071,29.860682175783403,2,55.74919832213993,868,1656.9834036585883,false
3,7,8,9,4.396217608343177,6.248371665038231,1,52.930752266626044,915,275.6374430297887,false
4,7,4,12,6.04601094897636,-28.74579045536953,2,50.836417900389826,1095,1081.2511271670426,false
5,7,5,13,6.062256978140849,-10.727647193429146,2,64.0157138777027,938,1466.632196564633,false
6,7,3,3,6.835708110304646,69.1472257932455,3,31.304981254492038,1052,1514.1816271504551,false
7,7,6,14,5.345721398547228,47.75358690325827,2,23.955334504674262,748,706.5083155915435,false
8,7,7,15,6.998984303320915,39.11198042575748,1,53.254444180864645,897,1226.9392813012387,false
9,7,7,0,5.8619201576785835,-49.069394216132544,3,49.042830818218526,1060,1245.5267961790305,false
10,7,0,15,5.829420223895693,26.802791636370994,1,30.32133834923986,613,538.8970217026626,false
11,7,1,13,6.217059765684112,-28.479715015103217,2,54.76251397353302,1045,1084.203855370382,false
12,7,6,12,5.672795894788475,-27.48988147881169,3,30.37936085291256,843,526.4389803196568,false
13,7,0,11,5.843194891115059,30.97438063347468,2,29.01787298598396,805,924.8918855736599,false
14,7,2,12,6.555363637558833,-28.86320874485681,1,40.85037612850016,933,1628.2727044325222,false
15,7,6,8,6.043977993947905,-79.78815446512395,2,24.138606407849288,1096,1432.6953618965897,false
16,7,0,0,5.383050787083967,-59.63665360252989,2,45.06780790801372,800,540.0786979691015,false
17,7,4,13,5.848135912868322,-16.246009115544716,2,72.97597391680543,941,968.6800297311801,false
18,7,0,1,4.715252165302432,-2.498594389418675,1,29.60080414459152,741,275.26169366622736,false
19,7,3,14,4.992894888374439,28.92404426656627,1,37.19237213427796,693,554.1200230996891,false
20,7,1,15,6.689399022818643,14.106804737073098,2,14.038863346798179,728,984.6953843702122,false
21,7,3,4,7.2260348178714064,-19.78325707472935,2,24.035836187825378,932,1518.629974681127,false
22,7,1,6,6.314345423026076,28.343270558732645,2,51.438827092156764,1138,1095.3063498400802,false
23,7,1,0,6.118126297588383,-75.20427634285765,1,25.092309110321793,783,1006.3687197046618,false
24,7,6,9,6.06054658319068,-75.13911209046583,4,46.84271710595244,1325,994.2565061391351,false
25,7,1,2,4.943209113714,60.40993691535832,4,15.748993829120877,1099,550.8402672281684,false
26,7,7,11,5.745246987850275,74.63348985463304,2,122.67743689922149,1288,992.4807302915256,false
27,7,7,10,4.68497852106891,61.66298567693467,1,17.087505755428435,1005,535.1233502660858,false
28,7,3,0,6.186205178309088,-39.67087963447331,3,65.30535542584505,892,708.0459024667822,false
29,7,0,14,5.350330316294706,-0.23243596429789964,0,31.334468948962414,724,493.0040567784407,false
30,7,3,12,5.570992041005813,-47.40021446085664,2,59.959332250461514,1268,709.1431449291462,false
31,7,3,2,6.405605322023637,59.564048615714,4,23.580888826780786,1199,1079.8009075750956,false
32,7,0,2,5.493519910390159,74.06257845943111,1,17.861550648147265,869,986.9356615301729,false
33,7,0,7,6.456504146124731,29.054604099077146,5,132.14426169852237,1759,1647.3008225579201,false
34,7,8,8,5.429988911486223,-59.467877270459496,2,6.578569412920302,796,523.6000381970956,false
35,7,2,4,5.145846246196113,-28.68444269738939,3,11.474670400577436,683,556.2670222114556,false
36,7,4,1,5.166330408733837,-41.82016988013577,2,48.399711594934864,1117,713.8627319029898,false
37,7,1,4,6.680631358907957,-14.276980620648283,2,10.026145861449084,1010,981.3078008453821,false
38,7,5,5,5.586880364760934,-27.87018082988685,2,10.898020158814408,746,549.7681329433345,false
39,7,4,15,5.6775123962975425,30.26406490488247,4,11.505205642707855,924,1081.3792119326133,false
40,7,2,14,7.005649856575266,-0.5179588617440368,0,18.32729137544167,1028,1438.0587609691058,false
41,7,8,10,5.47425269742125,73.74442731233465,5,97.50517791368691,970,989.5600032337604,false
42,7,0,10,6.274946250272853,-0.8702487108087806,1,18.799143405016544,1189,790.0911339839222,false
43,7,8,7,4.938117411421756,28.993759046360314,0,4.540520468170456,693,548.7768216679709,false
44,7,1,1,4.879653868904302,-60.39121293526326,1,78.52945276439219,933,522.1877057151002,false
45,7,5,6,5.325190382580797,28.293485650639603,2,9.597469751450292,836,533.768676488233,false
46,7,2,5,5.437844859333712,-0.47350805873492635,0,7.351442039424164,578,484.0165286433925,false
47,7,0,3,6.229612983667483,79.34058705513667,2,20.37789170341826,972,1416.4420214043355,true
48,7,0,9,5.788921806735928,-48.866796953767604,2,83.45172101087982,1406,1226.79460383554,false
49,7,5,11,6.840112106913817,69.10917523759153,1,156.91722353137482,1093,1542.3945668991446,false
50,7,8,6,5.261715938390062,0.11862463280874663,0,7.908531414746963,794,483.001035195578,false
51,7,4,4,5.812150622919093,-29.10666276139437,2,50.532687072866764,1105,1068.9976613632043,false
52,7,6,15,6.575428656432518,58.12823543847205,2,107.803928696147,1256,909.0566539000746,false
53,7,4,5,6.627231215814805,-14.711107328605568,2,22.29897237872996,955,988.4012343173191,false
54,7,3,13,4.708015643730382,-30.196527861600213,1,29.125269495135306,744,550.7313319577886,true
55,7,1,7,6.708975516367465,40.55190174386677,3,124.94507943627407,1468,1258.1971228706573,false
56,7,2,6,5.170746824201702,49.2446387960542,1,37.512712637653216,830,726.0688672570943,false
57,7,5,2,5.681316372636648,-2.3724795673326398,3,55.5001880201122,967,531.4555484704248,false
58,7,7,8,5.913313062476713,-74.91218997314905,3,37.84888179308589,1045,991.1674934137015,false
59,7,7,12,6.045115948980136,-15.985090906012276,1,110.70720227763135,1052,991.331427929126,false
60,7,1,8,6.120945445558358,-49.5560299076434,2,40.33129747341529,841,1264.058542948071,false
61,7,7,1,5.376341366955408,-29.96091606987125,2,23.755563841933018,837,921.0884865201606,false
62,7,0,5,6.981223994519331,0.43464929971348837,2,42.78791933732418,914,1450.0417235376367,false
63,7,7,2,5.848063979661781,30.93257798653155,2,58.245066622190436,1005,945.4718398767887,false
64,7,2,7,5.916372633486205,60.05087002417284,4,84.2266270267323,1048,939.4450489517734,false
65,7,7,3,5.907294301642425,49.25110173679268,2,109.30727049852473,1005,1220.9971334937686,false
66,7,6,3,6.425518932113938,60.52674238186829,4,65.58277826713302,1198,1648.3161104593985,false
67,7,0,8,6.608628578672053,-60.23799376012811,3,24.708064750700707,1142,1659.956927152027,false
68,7,4,14,6.430412123515666,15.29559611032103,4,10.063571898982934,753,993.1807489072671,false
69,7,8,12,6.02850308837136,-10.887007948416823,3,209.3784369560021,1149,1461.301132552767,false
70,7,8,0,6.995550743776468,-59.519973192879576,3,112.27543425620556,1240,1604.7694538468759,false
71,7,8,3,5.907057656340583,28.600509891034747,2,50.49211006151669,1012,919.1566787006446,false
72,7,1,10,5.424799454535269,29.616483376928898,1,72.4581766474587,1096,940.9298592350017,true
73,7,1,12,6.891322262593988,-40.05434682028197,1,86.66634937464985,789,1238.5124141485219,false
74,7,3,9,6.1418165146649555,-59.98986235968179,1,46.69412481604765,1150,1071.6715914868696,false
75,7,5,3,5.5666893659427545,41.14065592610677,2,12.401483050169814,908,714.3836504288155,false
76,7,3,10,5.559852479259282,-0.5562522270806725,1,13.276312447317176,929,515.0242712727236,false
77,7,6,10,4.794367026606532,1.0728292757915368,1,15.607910536703193,910,267.0468123756582,false
78,7,5,0,6.9388267707605245,-69.27912522366326,4,112.38669807877139,1344,1546.0029107346468,false
79,7,7,9,4.816281904661285,-61.95266761395799,1,17.304710243110513,736,535.9412281211439,false
80,7,3,6,6.498079504975052,9.850630593577096,2,73.80149763936663,947,1455.457659981904,false
81,7,3,5,6.347991907021108,-10.105417655662123,1,22.75333322339915,864,1464.7228406766926,false
82,7,5,1,5.704057003970183,-60.79710728906087,3,34.22918138576177,772,1088.329453796046,false
83,7,8,5,5.428393006867112,-47.628499629208356,2,48.34689503911304,993,709.2672274960969,false
84,7,7,7,6.673143881086098,13.979345989595696,0,6.88850722588624,794,976.933979345585,false
85,7,4,11,6.19446415847954,59.92659145764756,1,106.50368121412511,906,1081.6006656802685,false
86,7,5,8,5.910422949833474,-40.467738291298545,3,47.411909282218566,1007,697.975644274211,false
87,7,4,2,5.19574984952134,41.74740734795275,1,42.241379665068486,869,710.3724375283715,false
88,7,2,10,6.579965556153739,50.33560918753959,1,96.62544372152036,1162,1247.0829964360832,false
89,7,8,14,7.265002411526227,19.91896349858412,2,45.10550134619655,956,1526.3109119704282,false
90,7,6,11,5.031779928555806,60.242102851506786,2,28.554913717636676,682,546.0009157501478,false
91,7,6,6,7.134609856097833,-0.9717080341280634,0,12.466882675063532,943,1415.2035189328776,true
92,7,7,5,6.080506796705828,-28.74272497310458,2,24.56166767892361,964,1106.3109870194728,false
93,7,2,1,5.828409344989643,-74.80126971701566,2,32.26531925859761,812,980.2882229222179,false
94,7,8,2,6.134875696470198,-0.4281049559032857,2,25.07320046839354,774,803.0224156273597,false
95,7,0,13,5.08429982751259,-49.06152267731058,1,48.14372398774097,884,718.8115191063649,false
96,7,2,9,6.220112695249587,0.6437457141753808,3,32.61370709436633,1061,801.0505602020387,false
97,7,5,14,6.586773936493893,9.714297963005711,3,34.058113101204825,1239,1457.904317848054,false
98,7,3,8,6.874525594704766,-69.23019878343945,3,59.209270042101345,1297,1505.861879456413,false
99,7,7,13,6.457724346907083,0.5980553095758264,2,37.469514762762586,805,958.0521906451652,false
