trialId,participantId,startIndex,endIndex,ID,angle,MDC,ME,MT,distance,error
0,1,1,4,5.941325602094079,-16.16609667019193,0,8.83802151256675,786,998.4813468462994,false
1,1,6,1,6.417467434571674,1.6867502218224562,1,15.660783150073543,704,815.3532976569114,false
2,1,5,11,6.561113643497657,68.67020714776983,2,131.15610075032635,744,1534.0811582181693,false
3,1,1,1,5.327602360775818,-59.82442672615253,1,8.509537987909464,549,561.0249548816879,false
4,1,7,5,5.931799634587835,-28.97900939470501,2,35.39406907161425,804,1104.2558580329107,false
5,1,1,10,5.367545568134251,29.752632349318247,3,15.739107310391184,1061,916.8647664732242,false
6,1,7,13,6.450231373943906,-0.601824289361102,0,12.472276793989485,655,952.0525195597143,false
7,1,3,5,6.275584545346023,-10.227850171013717,4,30.725078259958575,984,1464.2680765488265,false
8,1,6,7,7.225001130035735,8.11328527817484,1,81.39037769308197,657,1445.4677443651242,true
9,1,8,14,7.31800118757559,20.29324247801783,3,33.56292202924992,1046,1531.031351736469,false
10,1,6,3,6.209183204726245,61.16653640796339,5,33.127491454647895,874,1660.9111956995173,false
11,1,8,11,6.15650176429761,79.59072634520092,2,101.92111257098013,819,1472.2296016586542,false
12,1,3,7,7.23509567086355,21.072406553253835,4,33.04371478629354,840,1532.4819737928403,false
13,1,3,3,6.782116463135384,69.01320027687875,3,35.32104737578724,608,1541.2413827820742,false
14,1,0,10,5.996456586776371,-0.14234946987706,2,22.711755208010143,752,805.0024844682158,false
15,1,7,10,5.431643174220482,59.561213802447185,2,33.34920019024029,830,542.8158066968942,false
16,1,0,13,5.027329347676516,-48.51971101651914,2,8.84476777319503,765,714.1106356860959,false
17,1,2,0,6.0361776227258765,-80.01233704951036,2,42.190529173727136,566,1470.281945750542,false
18,1,2,1,5.480466099548431,-74.10322851131869,2,9.773102732239652,735,971.1395368328899,false
19,1,5,5,4.710960288374811,-30.045578013208228,3,5.858102393160519,683,567.2186527257368,true
20,1,1,12,6.767811821012646,-40.36983846507912,3,16.343372401533195,925,1235.1036393760646,false
21,1,3,9,5.626236860826928,-61.122875843311206,4,36.338168997960466,1016,1097.4611610439797,false
22,1,4,4,5.639897014126637,-30.075729607345288,3,29.26448895182257,667,1095.4930396857847,false
23,1,4,5,6.700959169108799,-14.516211245472354,1,41.44944150999621,936,1013.3493968025047,false
24,1,5,0,6.901943871177739,-69.1980331405718,3,65.59073187378709,716,1554.3207519685247,false
25,1,0,6,7.2949483847960535,20.111593786502134,4,19.32761947692061,1103,1523.9215859091962,false
26,1,8,13,6.904117084609418,0.32143157604802713,1,10.018454573538273,870,1426.0224402161418,false
27,1,7,12,6.032244065461168,-16.039259210012336,2,20.212929603827106,614,1006.1674810885114,false
28,1,1,15,6.438651950991494,15.260205782820055,1,5.789382939574894,653,987.8304510390434,false
29,1,7,6,6.635476063429635,-1.2505408556019195,2,12.449904501207921,769,962.2291826794695,false
30,1,5,13,6.628462160876712,-9.637538112930946,2,12.626944906174398,859,1451.4854460172862,false
31,1,8,7,4.921355147181152,29.054604099077146,2,39.40382925161058,752,555.9640276132981,false
32,1,6,6,7.002270422696052,-0.5194035772936442,0,16.430985599597978,799,1434.058924870244,false
33,1,7,8,6.100139895618499,-75.15586290086382,2,11.693021079705638,749,1014.8699424064149,false
34,1,3,4,7.200529663525528,-21.19831829197128,2,14.08844520855466,781,1534.8569965960999,false
35,1,0,2,5.57305638905519,74.3991621933845,0,2.5685507968763366,802,959.3435255423367,false
36,1,3,1,5.809510717594756,1.2801395596049208,1,21.438231835874365,637,537.1340614781378,false
37,1,1,13,5.812030061674647,-29.166549529391073,1,72.41942081938215,988,1093.6699685005528,false
38,1,2,12,6.426797112717561,-29.11192346156634,5,22.82543504665262,656,1650.5068918365655,false
39,1,8,9,4.448686589601445,6.564684291334102,0,16.00122489976834,666,253.6631624812716,false
40,1,0,9,5.933776086035583,-49.28258929854408,3,45.37565483252428,958,1230.9744107819627,false
41,1,3,12,5.590367367452169,-50.00913957320733,3,42.025605104105644,735,712.6570002462615,false
42,1,3,0,5.166590226791362,-41.813861161870896,2,9.866602374362001,526,712.4507000487823,false
43,1,2,5,5.553190927092954,-0.8389995595967521,1,6.986620002298052,562,478.05125248240904,false
44,1,3,11,5.232002738976563,43.063199613778956,3,30.38674571811096,756,732.2738558763381,false
45,1,5,1,5.841235695195953,-60.52807747508042,2,38.70719532501959,868,1093.5026291692216,false
46,1,4,13,6.304958993971604,-15.502126101895517,4,24.064584899838685,996,976.52547329806,false
47,1,0,1,4.310547634381327,3.1424957770727664,0,3.234047882870543,579,255.38402455909414,false
48,1,8,8,5.141348099080107,-62.41933631043498,1,10.139784270915214,484,555.0792736177419,false
49,1,0,4,6.016724762773333,-11.085365762636238,2,27.75746795760248,645,1451.0744295176592,false
